"","strain","cond","time","mean_mumax","sd_mumax","rsq_mean","mean_lag","sd_lag","well","rsq_x","row","column","media","edge","rep","y0","y0_lm","mumax","lag"
"76","kb","M",10,0.239875321608755,0.00520844940372723,0.993510529347551,18.1469069408375,0.773705658995986,"B6",0.984687739240713,"B",6,"succ",0,"b",0.014,0.000141759028472658,0.248009771002184,18.5181573956963
"77","kb","M",10,0.239875321608755,0.00520844940372723,0.993510529347551,18.1469069408375,0.773705658995986,"C3",0.996183549885132,"C",3,"succ",0,"c",0.013,0.00016488880587743,0.236908949779858,18.4350709314688
"78","kb","M",10,0.239875321608755,0.00520844940372723,0.993510529347551,18.1469069408375,0.773705658995986,"C6",0.997966337228211,"C",6,"succ",0,"c",0.016,0.000154175986337908,0.239843544719732,19.3553230222135
"79","kb","M",15,0.238557093559706,0.0162272354875534,0.994165523703781,21.1851102095375,1.41574796385222,"A3",0.996209995258742,"A",3,"succ",1,"a",0.012,0.000158456763729476,0.227205588576818,19.0452188425959
"80","kb","M",15,0.238557093559706,0.0162272354875534,0.994165523703781,21.1851102095375,1.41574796385222,"A6",0.995436050823898,"A",6,"succ",1,"a",0.012,7.8502533025413e-05,0.251160865026414,20.0251382162335
"81","kb","M",15,0.238557093559706,0.0162272354875534,0.994165523703781,21.1851102095375,1.41574796385222,"B3",0.99061947664516,"B",3,"succ",0,"b",0.019,0.000199489902450591,0.214677670455244,21.2245205927567
"82","kb","M",15,0.238557093559706,0.0162272354875534,0.994165523703781,21.1851102095375,1.41574796385222,"B6",0.993242146010325,"B",6,"succ",0,"b",0.014,6.06768057820635e-05,0.25033424982673,21.7359434421918
"83","kb","M",15,0.238557093559706,0.0162272354875534,0.994165523703781,21.1851102095375,1.41574796385222,"C3",0.996478903720031,"C",3,"succ",0,"c",0.018,0.000100841340367366,0.23255592583331,22.2939003770749
"84","kb","M",15,0.238557093559706,0.0162272354875534,0.994165523703781,21.1851102095375,1.41574796385222,"C6",0.993006569764531,"C",6,"succ",0,"c",0.018,5.34319972637661e-05,0.25540826163972,22.785939786372
"85","kb","M",20,0.203899045608577,0.00248118750901495,0.993438262867368,21.5671440747716,0.949099012163675,"A3",0.995460601179267,"A",3,"succ",1,"a",0.027,0.000370725299298438,0.201968300698953,21.2317020787566
"86","kb","M",20,0.203899045608577,0.00248118750901495,0.993438262867368,21.5671440747716,0.949099012163675,"A6",0.995036421775397,"A",6,"succ",1,"a",0.021,0.00036276907591249,0.202388567787359,20.0530656635112
"87","kb","M",20,0.203899045608577,0.00248118750901495,0.993438262867368,21.5671440747716,0.949099012163675,"B3",0.9891640264498,"B",3,"succ",0,"b",0.024,0.000300137083899028,0.200899635743467,21.8097448335192
"88","kb","M",20,0.203899045608577,0.00248118750901495,0.993438262867368,21.5671440747716,0.949099012163675,"B6",0.997117103999276,"B",6,"succ",0,"b",0.019,0.000240111427835178,0.205857023023584,21.2336266001723
"89","kb","M",20,0.203899045608577,0.00248118750901495,0.993438262867368,21.5671440747716,0.949099012163675,"C3",0.986331143758384,"C",3,"succ",0,"c",0.028,0.000271417642092184,0.207113744733411,22.3852890391831
"90","kb","M",20,0.203899045608577,0.00248118750901495,0.993438262867368,21.5671440747716,0.949099012163675,"C6",0.997520280042085,"C",6,"succ",0,"c",0.027,0.000256843909281948,0.205167001664687,22.6894362334874
"91","wt","H",0,0.244063642168458,0.0118801787385933,0.994705650149135,6.12733324629979,0.416090368716164,"D4",0.987999609986921,"D",4,"succ",0,"a",0.021,0.00465385403348985,0.262078095775698,5.74953329290308
"92","wt","H",0,0.244063642168458,0.0118801787385933,0.994705650149135,6.12733324629979,0.416090368716164,"D7",0.99631713540506,"D",7,"succ",0,"a",0.023,0.00595552434326068,0.239858628826767,5.6332139172221
"93","wt","H",0,0.244063642168458,0.0118801787385933,0.994705650149135,6.12733324629979,0.416090368716164,"E4",0.990216388406684,"E",4,"succ",0,"b",0.022,0.0048910075908237,0.253652209831203,5.92797563563362
"94","wt","H",0,0.244063642168458,0.0118801787385933,0.994705650149135,6.12733324629979,0.416090368716164,"E7",0.998237072987444,"E",7,"succ",0,"b",0.027,0.00621063209402477,0.229768935246813,6.39587848193155
"95","wt","H",0,0.244063642168458,0.0118801787385933,0.994705650149135,6.12733324629979,0.416090368716164,"F4",0.99676805210612,"F",4,"succ",1,"c",0.027,0.00532464128176317,0.243101994306207,6.67823201631222
"96","wt","H",0,0.244063642168458,0.0118801787385933,0.994705650149135,6.12733324629979,0.416090368716164,"F7",0.99869564200258,"F",7,"succ",1,"c",0.025,0.00555051248018848,0.23592198902406,6.37916613379618
"97","wt","H",5,0.237438265267602,0.00482531249134277,0.995682135465615,7.04162596031165,0.480816057592245,"D4",0.991758000904002,"D",4,"succ",0,"a",0.018,0.00381009393332066,0.23633201024851,6.57007027111507
"98","wt","H",5,0.237438265267602,0.00482531249134277,0.995682135465615,7.04162596031165,0.480816057592245,"D7",0.996953666427978,"D",7,"succ",0,"a",0.02,0.00321609851721313,0.240469135435171,7.59999110046858
"99","wt","H",5,0.237438265267602,0.00482531249134277,0.995682135465615,7.04162596031165,0.480816057592245,"E4",0.989957799360694,"E",4,"succ",0,"b",0.021,0.0032691236186813,0.245389545855412,7.57978702299668
"100","wt","H",5,0.237438265267602,0.00482531249134277,0.995682135465615,7.04162596031165,0.480816057592245,"E7",0.998511302791936,"E",7,"succ",0,"b",0.017,0.00374436285624631,0.231600119359995,6.53264720927375
"101","wt","H",5,0.237438265267602,0.00482531249134277,0.995682135465615,7.04162596031165,0.480816057592245,"F4",0.998464179702504,"F",4,"succ",1,"c",0.017,0.00341594689464384,0.235943654881685,6.80144848616461
"102","wt","H",5,0.237438265267602,0.00482531249134277,0.995682135465615,7.04162596031165,0.480816057592245,"F7",0.998447863606576,"F",7,"succ",1,"c",0.019,0.00352974187439191,0.234895125824841,7.16581167185122
"103","wt","H",10,0.233002951907027,0.00296225477716375,0.996964856319852,9.07386546638539,0.968631256107162,"D4",0.993223183492423,"D",4,"succ",0,"a",0.017,0.00169277474294925,0.237050208139957,9.73145866382933
"104","wt","H",10,0.233002951907027,0.00296225477716375,0.996964856319852,9.07386546638539,0.968631256107162,"D7",0.998256357012922,"D",7,"succ",0,"a",0.014,0.00187727696693109,0.229447943644854,8.75682297552177
"105","wt","H",10,0.233002951907027,0.00296225477716375,0.996964856319852,9.07386546638539,0.968631256107162,"E4",0.994111459151022,"E",4,"succ",0,"b",0.015,0.00182795886030726,0.233521006246734,9.01353701517509
"106","wt","H",10,0.233002951907027,0.00296225477716375,0.996964856319852,9.07386546638539,0.968631256107162,"E7",0.998665570532069,"E",7,"succ",0,"b",0.011,0.00192310288628321,0.229634232229012,7.59449184769779
"107","wt","H",10,0.233002951907027,0.00296225477716375,0.996964856319852,9.07386546638539,0.968631256107162,"F4",0.998888114821639,"F",4,"succ",1,"c",0.021,0.00182077451225095,0.233703265374015,10.4630992941535
"108","wt","H",10,0.233002951907027,0.00296225477716375,0.996964856319852,9.07386546638539,0.968631256107162,"F7",0.99864445290904,"F",7,"succ",1,"c",0.014,0.0017408603252248,0.234661055807587,8.88378300193486
"109","wt","H",15,0.240784405960098,0.00425054233403752,0.99741401479226,13.6841262200109,0.871581248456768,"D4",0.995408161125548,"D",4,"succ",0,"a",0.019,0.000532115608312796,0.243065344158028,14.7093510839289
